TCGA-A3-3319	DMD,SMARCA4,ANK2,DNAH10,OBSCN,USP34,FAT3,ADGRV1
TCGA-B2-4099	RYR2,VHL,COL6A3,DMD,PBRM1,NSD1,DNAH7,ABCA8,SPHKAP,SYNE2
TCGA-CJ-4918	ANK3,DNAH8,ALMS1,WDFY3
TCGA-B0-4706	VHL,LRP1,PBRM1,DCHS2,MUC16
TCGA-AK-3444	ERBB4,TTN,VHL,ARID1A,DYNC1H1,RGS3,NAV3,NEB
TCGA-CJ-5682	RYR2,TTN,LRP1,PBRM1,SETD2,HERC2,RGS3,FBN2,MUC16
TCGA-A3-3357	TNR,TTN,ZEB2,NCOR1,HERC1,HMCN1,ADAMTS12,XIRP2,FLRT2
TCGA-CW-6090	RYR1,VHL,PRPF8,MYO16,CELSR1,USH2A,MUC16
TCGA-B0-5700	ANK3,PBRM1,BIRC6,ROS1,MACF1,FAT1,MEGF10,ADAMTS12
TCGA-B0-5115	VWF,VHL,PBRM1,LRP2,MACF1
TCGA-A3-3383	VHL,PBRM1,SETD2,SLIT2,DOCK4,MYH2
TCGA-A3-A8OU	MTOR,TTN,ANK3,PBRM1,UBR4,AHNAK2,HMCN1,CENPF
TCGA-BP-5187	THBS1,VHL,PBRM1
TCGA-B0-5119	MTOR,NOS1,LAMA2,COL6A6,PTPRZ1,DNAH10,VPS13B,CELSR1
TCGA-CZ-5987	MTOR,VHL,RYR3,PBRM1,BAZ2B,LRRCC1
TCGA-CJ-4869	TNC,ANK3,TTN,MUC2,SLIT2,FAT4,RGS3,ROS1,MYO16,TENM1,BAP1,HYDIN,MUC16,SAMD9
TCGA-B0-5693	HSPA8,VHL,PBRM1,TTN,DYNC2H1,PCDH15
TCGA-AK-3451	TTN,KMT2C,MUC2,IGF2R,XIRP2,SPHKAP,BAP1,PKHD1L1
